,MSE
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",1.945259886339615e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SMD')",1.9752117833251208e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML')",1.9884803873990105e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",1.996669501707856e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'B', 'O', 'PHY', 'SML', 'SMD')",2.0055193754972306e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SML', 'SMD')",2.0308713844128275e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.033005781227367e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",2.0466182691206234e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.0500528191109014e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.078039966626578e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.0846134814996534e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.085604357409713e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",2.0877647091395184e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",2.0971003536183818e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.0972593933020706e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",2.1265863410669505e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SMD')",2.1326450458380942e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.1394308643948826e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",2.1511961146375736e-30
"LinearRegression(n_jobs=-1) - ('cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.1621484870267837e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",2.1626025851964838e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",2.1745472628968843e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",2.1873689910383654e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.1879034365979328e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",2.1884713602366116e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",2.1897754254575494e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SMD')",2.1913491208707016e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",2.194492449188529e-30
"LinearRegression(n_jobs=-1) - ('age', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.2032164604467727e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.2059143422333224e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.219607628906277e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.2301654113518032e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.2308789834425263e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",2.2367083821796666e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",2.2376979791518724e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",2.2499206377563554e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.2621416412647923e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.2838608648227885e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML')",2.3504166402657813e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML')",2.385346238609505e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",2.3868525264746036e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'SAR', 'SML')",2.3880857987237574e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML')",2.3896873298431367e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML')",2.3907257521486985e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.4479336955873984e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",2.482991563874684e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.5033279546862826e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.5364570342269197e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'SAR', 'SML')",2.5706099411352585e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",2.5940704009652407e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML')",2.678148001162042e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.6854236529167956e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML')",2.7494324612399748e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.7798891625194975e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.7913150428411287e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.8062785404977176e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",2.8791730328701746e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SML', 'SMD')",2.890802565237097e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",2.9049689836842805e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",2.9323097409623725e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",2.9480654277718675e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",2.9683779701540766e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",2.975934311151897e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'SAR', 'SMD')",2.9842617764438563e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",3.0121435996656998e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.09728309443926e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.099863013016716e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'PHY', 'SML', 'SMD')",3.166934350878024e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",3.169346803828285e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SMD')",3.172191462541456e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML')",3.227093631493221e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.2637504730241786e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SMD')",3.274286438294554e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.277974819832971e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SMD')",3.2879880756793764e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",3.3419836281561495e-30
"LinearRegression(n_jobs=-1) - ('age', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.352079488341577e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'O', 'PHY', 'SAR', 'SML')",3.432318469417971e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'B', 'O', 'PHY', 'SAR', 'SMD')",3.4567200018133575e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR')",3.479640148015973e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR')",3.5084537903116906e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.515136240597245e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",3.6281864475418146e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",3.715957093638617e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",3.7361870316818055e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML')",3.740826341130263e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SMD')",3.778187802186968e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SMD')",3.787724089445585e-30
"LinearRegression(n_jobs=-1) - ('age', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",3.907815300664574e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SML', 'SMD')",3.97915791479903e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",3.992789060138623e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'SAR', 'SML', 'SMD')",4.0079729864958786e-30
"LinearRegression(n_jobs=-1) - ('age', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.02283522236711e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML')",4.121194119723012e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.2584483760120295e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.352886877456527e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.420757401013118e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.459425710861383e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",4.5855419230774895e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML')",4.596726008913134e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",4.9310878350327785e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'LOG_Y', 'RH', 'A', 'O', 'PHY', 'SAR', 'SML', 'SMD')",5.0696247155257746e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML')",5.2222985988953196e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",5.2890892475135614e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'O', 'SAR', 'SML', 'SMD')",5.3215501196414624e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",5.7825861510396166e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",5.786754961821192e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SML', 'SMD')",5.980160533186842e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SML', 'SMD')",6.0694745563465e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'O', 'PHY', 'SAR', 'SML', 'SMD')",6.1097990907153e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'B', 'O', 'PHY', 'SAR', 'SML')",6.1958722101220576e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML')",6.309541648682731e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'PHY', 'SAR', 'SML', 'SMD')",6.509639525678573e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SMD')",6.553420351981164e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",6.790301986282033e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'PHY', 'SAR', 'SML', 'SMD')",7.200231811509825e-30
"LinearRegression(n_jobs=-1) - ('blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",7.328879192201671e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",7.616666088966595e-30
"LinearRegression(n_jobs=-1) - ('age', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'SAR', 'SML', 'SMD')",7.768944855770986e-30
"LinearRegression(n_jobs=-1) - ('age', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'SAR', 'SML', 'SMD')",7.871815845874723e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",7.885583010016638e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'testosterone', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SMD')",8.038915546380835e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SAR', 'SML', 'SMD')",8.336274841590833e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'A', 'B', 'PHY', 'SAR', 'SML')",8.608322301580167e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'cholesterol', 'hemoglobin', 'temperature', 'testosterone', 'weight', 'LOG_Y', 'RH', 'B', 'O', 'SML', 'SMD')",8.90514120793116e-30
"LinearRegression(n_jobs=-1) - ('age', 'blood pressure', 'hemoglobin', 'testosterone', 'weight', 'LOG_Y', 'RH', 'A', 'B', 'O', 'PHY', 'SML', 'SMD')",9.58313843854759e-30
